시도,행정구역,산업대,2019 년,2020 년
부산광역시,동래구,B.광업,2,0
부산광역시,동래구,C.제조업,452,402
부산광역시,동래구,D.전기가스,4,4
부산광역시,동래구,E.수도하수,11,12
부산광역시,동래구,F.건설업,764,582
부산광역시,동래구,G.도소매업,2213,1819
부산광역시,동래구,H.운수창고,180,126
부산광역시,동래구,I.숙박음식,2181,1445
부산광역시,동래구,J.정보통신,46,48
부산광역시,동래구,K.금융보험,156,151
부산광역시,동래구,L.부동산업,435,392
부산광역시,동래구,M.전문기술,304,297
부산광역시,동래구,N.사업시설,313,274
부산광역시,동래구,P.교육,648,568
부산광역시,동래구,Q.보건복지,770,778
부산광역시,동래구,R.예술스포츠,269,187
부산광역시,동래구,S.협회단체,756,607
부산광역시,남구,전체,8263,6454
부산광역시,남구,A.농림어업,1,1
부산광역시,남구,B.광업,0,1
부산광역시,남구,C.제조업,500,429
부산광역시,남구,D.전기가스,4,5
부산광역시,남구,E.수도하수,17,15
